"","artist","song","song_parts","key","bpm","chords","link"
"1","Madonna","Like A Prayer","Intro","Dmin","112","dm-dm-11-gm-dm-dm-dm-11-gm-dm-C-gm-F-Bb-F-C-dm","http://www.hooktheory.com/theorytab/view/madonna/like-a-prayer"
"2","Madonna","Like A Prayer","Verse","Fmaj","112","Bb-F-C-dm-Bb-F-C-C-Bb-F-C-dm-Bb-F-C-C","http://www.hooktheory.com/theorytab/view/madonna/like-a-prayer"
"3","Madonna","Like A Prayer","Chorus","Fmaj","112","F-C-Bb-F-Fmaj9-gm-F-C-Bb-F-Fmaj9-gm","http://www.hooktheory.com/theorytab/view/madonna/like-a-prayer"
"4","The Beatles","Lady Madonna","Verse","Amaj","220","A-D-A-D-A-D-F-G-A","http://www.hooktheory.com/theorytab/view/the-beatles/lady-madonna"
"5","The Beatles","Lady Madonna","Bridge","Cmaj","219","dm-G-C-am-dm-G-C-bm7(b5)-Esus4-E","http://www.hooktheory.com/theorytab/view/the-beatles/lady-madonna"
"6","Madonna","Girl Gone Wild","Intro","G#min","128","g#m-g#m-g#m-g#m-F#-F#-E-E-E-E-E-F#-F#-g#m","http://www.hooktheory.com/theorytab/view/madonna/girl-gone-wild"
"7","Madonna","Girl Gone Wild","Chorus","G#min","136","g#m-F#-E-F#-g#m-g#m-F#-E-F#-g#m-g#m-F#-E-F#-g#m-g#m-F#-E-F#-g#m","http://www.hooktheory.com/theorytab/view/madonna/girl-gone-wild"
"8","Madonna","Frozen","Chorus","Fmin","107","fm-b-bm-Db-Ab-fm-b-bm-Gb-Ab-fm-b-bm-Db-Ab-fm-b-bm-Gb-Ab","http://www.hooktheory.com/theorytab/view/madonna/frozen"
"9","Madonna","Frozen","Solo","Fmin","107","fm-Ab-bbm6-b-bm7-Db-Db-bbm-b-bm7-b-bm6-b-bm-b-bm-gm7(b5)-fm-eo","http://www.hooktheory.com/theorytab/view/madonna/frozen"
"10","Madonna","La Isla Bonita","Verse","C#min","100","c#m-B-c#m-A-c#m-E-B-c#m-B-c#m-A-c#m-E-B-G#","http://www.hooktheory.com/theorytab/view/madonna/la-isla-bonita"
